Year,State,Commodity,"YIELD, BU / ACRE ",% GE Bt insecticide only,% GE herbicide only,% stacked,total GMO planted
2020,US TOTAL,CORN,178.5,3,10,79,92
2019,US TOTAL,CORN,167.4,3,9,80,92
2018,US TOTAL,CORN,176.4,2,10,80,92
2017,US TOTAL,CORN,176.6,3,12,77,92
2016,US TOTAL,CORN,174.6,3,13,76,92
2015,US TOTAL,CORN,168.4,4,12,77,93
2014,US TOTAL,CORN,171,4,13,76,93
2013,US TOTAL,CORN,158.1,5,14,71,90
2012,US TOTAL,CORN,123.1,15,21,52,88
2011,US TOTAL,CORN,146.8,16,23,49,88
2010,US TOTAL,CORN,152.6,16,23,47,86
2009,US TOTAL,CORN,164.4,17,22,46,85
2008,US TOTAL,CORN,153.3,17,23,40,80
2007,US TOTAL,CORN,150.7,21,24,28,73
2006,US TOTAL,CORN,149.1,25,21,15,61
2005,US TOTAL,CORN,147.9,26,17,9,52
2004,US TOTAL,CORN,160.3,27,14,6,47
2003,US TOTAL,CORN,142.2,25,11,4,40
2002,US TOTAL,CORN,129.3,22,9,2,33
2001,US TOTAL,CORN,138.2,18,7,1,26
2000,US TOTAL,CORN,136.9,18,6,1,25
1999,US TOTAL,CORN,133.8,NA,NA,NA,
1998,US TOTAL,CORN,134.4,NA,NA,NA,
1997,US TOTAL,CORN,126.7,NA,NA,NA,
1996,US TOTAL,CORN,127.1,NA,NA,NA,
1995,US TOTAL,CORN,113.5,NA,NA,NA,
1994,US TOTAL,CORN,138.6,NA,NA,NA,
1993,US TOTAL,CORN,100.7,NA,NA,NA,
1992,US TOTAL,CORN,131.5,NA,NA,NA,
1991,US TOTAL,CORN,108.6,NA,NA,NA,
1990,US TOTAL,CORN,118.5,NA,NA,NA,
1989,US TOTAL,CORN,116.3,NA,NA,NA,
1988,US TOTAL,CORN,84.6,NA,NA,NA,
1987,US TOTAL,CORN,119.8,NA,NA,NA,
1986,US TOTAL,CORN,119.4,NA,NA,NA,
1985,US TOTAL,CORN,118,NA,NA,NA,
1984,US TOTAL,CORN,106.7,NA,NA,NA,
1983,US TOTAL,CORN,81.1,NA,NA,NA,
1982,US TOTAL,CORN,113.2,NA,NA,NA,
1981,US TOTAL,CORN,108.9,NA,NA,NA,
1980,US TOTAL,CORN,91,NA,NA,NA,
1979,US TOTAL,CORN,109.5,NA,NA,NA,
1978,US TOTAL,CORN,101,NA,NA,NA,
1977,US TOTAL,CORN,90.8,NA,NA,NA,
1976,US TOTAL,CORN,88,NA,NA,NA,
1975,US TOTAL,CORN,86.4,NA,NA,NA,
1974,US TOTAL,CORN,71.9,NA,NA,NA,
1973,US TOTAL,CORN,91.3,NA,NA,NA,
1972,US TOTAL,CORN,97,NA,NA,NA,
1971,US TOTAL,CORN,88.1,NA,NA,NA,
1970,US TOTAL,CORN,72.4,NA,NA,NA,
1969,US TOTAL,CORN,85.9,NA,NA,NA,
1968,US TOTAL,CORN,79.5,NA,NA,NA,
1967,US TOTAL,CORN,80.1,NA,NA,NA,
1966,US TOTAL,CORN,73.1,NA,NA,NA,
1965,US TOTAL,CORN,74.1,NA,NA,NA,
1964,US TOTAL,CORN,62.9,NA,NA,NA,
1963,US TOTAL,CORN,67.9,NA,NA,NA,
1962,US TOTAL,CORN,64.7,NA,NA,NA,
1961,US TOTAL,CORN,62.4,NA,NA,NA,
1960,US TOTAL,CORN,54.7,NA,NA,NA,
1959,US TOTAL,CORN,53.1,NA,NA,NA,
1958,US TOTAL,CORN,52.8,NA,NA,NA,
1957,US TOTAL,CORN,48.3,NA,NA,NA,
1956,US TOTAL,CORN,47.4,NA,NA,NA,
1955,US TOTAL,CORN,42,NA,NA,NA,
1954,US TOTAL,CORN,39.4,NA,NA,NA,
1953,US TOTAL,CORN,40.7,NA,NA,NA,
1952,US TOTAL,CORN,41.8,NA,NA,NA,
1951,US TOTAL,CORN,36.9,NA,NA,NA,
1950,US TOTAL,CORN,38.2,NA,NA,NA,
1949,US TOTAL,CORN,38.2,NA,NA,NA,
1948,US TOTAL,CORN,43,NA,NA,NA,
1947,US TOTAL,CORN,28.6,NA,NA,NA,
1946,US TOTAL,CORN,37.2,NA,NA,NA,
1945,US TOTAL,CORN,33.1,NA,NA,NA,
1944,US TOTAL,CORN,33,NA,NA,NA,
1943,US TOTAL,CORN,32.6,NA,NA,NA,
1942,US TOTAL,CORN,35.4,NA,NA,NA,
1941,US TOTAL,CORN,31.2,NA,NA,NA,
1940,US TOTAL,CORN,28.9,NA,NA,NA,
1939,US TOTAL,CORN,29.9,NA,NA,NA,
1938,US TOTAL,CORN,27.8,NA,NA,NA,
1937,US TOTAL,CORN,28.9,NA,NA,NA,
1936,US TOTAL,CORN,18.6,NA,NA,NA,
1935,US TOTAL,CORN,24.2,NA,NA,NA,
1934,US TOTAL,CORN,18.7,NA,NA,NA,
1933,US TOTAL,CORN,22.8,NA,NA,NA,
1932,US TOTAL,CORN,26.5,NA,NA,NA,
1931,US TOTAL,CORN,24.5,NA,NA,NA,
1930,US TOTAL,CORN,20.5,NA,NA,NA,
1929,US TOTAL,CORN,25.7,NA,NA,NA,
1928,US TOTAL,CORN,26.3,NA,NA,NA,
1927,US TOTAL,CORN,26.4,NA,NA,NA,
1926,US TOTAL,CORN,25.7,NA,NA,NA,
1925,US TOTAL,CORN,27.4,NA,NA,NA,
1924,US TOTAL,CORN,22.1,NA,NA,NA,
1923,US TOTAL,CORN,27.8,NA,NA,NA,
1922,US TOTAL,CORN,26.3,NA,NA,NA,
1921,US TOTAL,CORN,27.8,NA,NA,NA,
1920,US TOTAL,CORN,29.9,NA,NA,NA,
1919,US TOTAL,CORN,26.8,NA,NA,NA,
1918,US TOTAL,CORN,23.9,NA,NA,NA,
1917,US TOTAL,CORN,26.2,NA,NA,NA,
1916,US TOTAL,CORN,24.1,NA,NA,NA,
1915,US TOTAL,CORN,28.1,NA,NA,NA,
1914,US TOTAL,CORN,25.8,NA,NA,NA,
1913,US TOTAL,CORN,22.7,NA,NA,NA,
1912,US TOTAL,CORN,29.1,NA,NA,NA,
1911,US TOTAL,CORN,24.4,NA,NA,NA,
1910,US TOTAL,CORN,27.9,NA,NA,NA,
1909,US TOTAL,CORN,26.1,NA,NA,NA,
1908,US TOTAL,CORN,26.9,NA,NA,NA,
1907,US TOTAL,CORN,27.2,NA,NA,NA,
1906,US TOTAL,CORN,31.7,NA,NA,NA,
1905,US TOTAL,CORN,30.9,NA,NA,NA,
1904,US TOTAL,CORN,28.2,NA,NA,NA,
1903,US TOTAL,CORN,26.9,NA,NA,NA,
1902,US TOTAL,CORN,28.5,NA,NA,NA,
1901,US TOTAL,CORN,18.2,NA,NA,NA,
1900,US TOTAL,CORN,28.1,NA,NA,NA,
1899,US TOTAL,CORN,28,NA,NA,NA,
1898,US TOTAL,CORN,26.8,NA,NA,NA,
1897,US TOTAL,CORN,25.4,NA,NA,NA,
1896,US TOTAL,CORN,30,NA,NA,NA,
1895,US TOTAL,CORN,28,NA,NA,NA,
1894,US TOTAL,CORN,20.2,NA,NA,NA,
1893,US TOTAL,CORN,23.8,NA,NA,NA,
1892,US TOTAL,CORN,24.7,NA,NA,NA,
1891,US TOTAL,CORN,29.6,NA,NA,NA,
1890,US TOTAL,CORN,22.1,NA,NA,NA,
1889,US TOTAL,CORN,29.5,NA,NA,NA,
1888,US TOTAL,CORN,29.1,NA,NA,NA,
1887,US TOTAL,CORN,21.9,NA,NA,NA,
1886,US TOTAL,CORN,24.1,NA,NA,NA,
1885,US TOTAL,CORN,28.6,NA,NA,NA,
1884,US TOTAL,CORN,28.3,NA,NA,NA,
1883,US TOTAL,CORN,24.2,NA,NA,NA,
1882,US TOTAL,CORN,26.5,NA,NA,NA,
1881,US TOTAL,CORN,19.8,NA,NA,NA,
1880,US TOTAL,CORN,27.3,NA,NA,NA,
1879,US TOTAL,CORN,28.2,NA,NA,NA,
1878,US TOTAL,CORN,26.2,NA,NA,NA,
1877,US TOTAL,CORN,25.8,NA,NA,NA,
1876,US TOTAL,CORN,26.7,NA,NA,NA,
1875,US TOTAL,CORN,27.7,NA,NA,NA,
1874,US TOTAL,CORN,22.2,NA,NA,NA,
1873,US TOTAL,CORN,22.9,NA,NA,NA,
1872,US TOTAL,CORN,29.4,NA,NA,NA,
1871,US TOTAL,CORN,27.2,NA,NA,NA,
1870,US TOTAL,CORN,29.3,NA,NA,NA,
1869,US TOTAL,CORN,21.8,NA,NA,NA,
1868,US TOTAL,CORN,26.2,NA,NA,NA,
1867,US TOTAL,CORN,24.7,NA,NA,NA,
1866,US TOTAL,CORN,24.3,NA,NA,NA,
