"Table 9. Percent of corn acreage receiving nitrogen fertilizer, selected States"																																																							
State	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Alabama	99	99	100	99	100	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colorado	NA	NA	NA	NA	NA	NA	NA	99	98	96	92	88	94	96	96	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	98	95	88	NA	89	NA	89	NA	NA	NA	NA	98	NA	NA	NA	NA	NA	96	NA	92
Delaware	NA	NA	NA	NA	NA	NA	NA	100	96	98	96	96	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Florida	NA	100	97	96	100	100	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Georgia	99	100	99	100	100	99	100	99	99	98	99	99	100	100	99	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	96	NA	NA	NA	98	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	97	NA	NA
Illinois	89	90	96	93	96	96	95	95	96	94	96	96	99	98	97	99	98	98	99	99	99	98	97	98	100	99	100	99	99	98	98	99	100	99	99	98	95	98	94	98	NA	98	NA	NA	NA	NA	98	NA	NA	NA	99	NA	98	NA	98
Indiana	99	100	99	99	100	99	99	99	100	98	99	98	100	99	99	97	99	99	99	99	99	99	99	98	97	99	100	98	97	97	97	97	100	100	100	99	99	97	99	99	NA	100	NA	NA	NA	NA	99	NA	NA	NA	96	NA	98	NA	100
Iowa	80	86	91	88	87	91	94	94	94	93	90	93	98	98	93	98	95	97	99	95	97	99	98	98	99	99	96	98	96	98	98	97	98	99	96	98	95	91	94	93	NA	92	NA	NA	NA	NA	95	NA	NA	NA	96	NA	98	NA	97
Kansas	79	84	92	90	93	93	97	98	97	96	93	99	98	99	93	96	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	98	NA	100	99	100	96	NA	99	NA	97	NA	NA	NA	NA	99	NA	NA	NA	98	NA	99	NA	100
Kentucky	96	96	97	89	98	96	97	99	98	98	100	99	100	97	97	96	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	98	NA	100	100	99	92	NA	98	NA	98	NA	NA	NA	NA	96	NA	NA	NA	98	NA	96	NA	98
Maryland	NA	98	99	98	98	100	97	100	100	99	100	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Michigan	98	96	99	99	98	99	99	98	100	98	98	99	99	99	98	100	100	100	100	100	100	99	99	98	100	99	96	97	96	98	98	99	100	100	95	100	99	94	NA	99	NA	98	NA	NA	NA	NA	99	NA	NA	NA	98	NA	94	NA	97
Minnesota	79	77	86	92	97	89	93	94	90	93	94	93	97	95	94	94	94	98	97	97	96	95	95	95	96	97	96	97	97	97	96	96	97	97	96	92	97	96	95	95	NA	94	NA	NA	NA	NA	87	NA	NA	NA	94	NA	96	NA	96
Mississippi	98	97	98	79	98	98	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Missouri	92	93	95	98	94	95	98	99	98	95	93	93	98	94	96	96	97	97	97	98	99	96	97	95	98	97	95	97	96	99	100	98	97	100	99	100	100	99	NA	99	NA	99	NA	NA	NA	NA	99	NA	NA	NA	98	NA	97	NA	98
Nebraska	72	74	79	90	90	89	93	90	92	92	94	91	91	96	96	95	96	97	97	98	98	99	93	97	99	96	98	99	98	98	97	99	98	100	99	99	99	99	97	95	NA	99	NA	NA	NA	NA	99	NA	NA	NA	99	NA	100	NA	99
New York	NA	100	99	100	93	100	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	99	NA	98	NA	94	NA	NA	NA	NA	86	NA	NA	NA	NA	NA	98	NA	97
North Carolina	99	100	100	100	100	100	100	100	100	95	100	100	100	99	100	100	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	99	NA	98	99	96	98	NA	99	NA	97	NA	NA	NA	NA	94	NA	NA	NA	NA	NA	91	NA	94
North Dakota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	89	NA	98	NA	99	NA	NA	NA	NA	100	NA	NA	NA	99	NA	97	NA	97
Ohio	99	100	99	100	99	100	100	99	97	96	99	99	100	88	99	100	99	99	99	98	98	98	98	98	99	99	99	98	100	99	99	100	100	99	100	100	100	100	99	100	NA	99	NA	NA	NA	NA	100	NA	NA	NA	98	NA	99	NA	99
Pennsylvania	NA	100	95	96	99	99	96	97	97	96	97	96	98	98	100	99	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	97	NA	88	NA	95	98	NA	91	NA	88	NA	NA	NA	NA	94	NA	NA	NA	96	NA	91	NA	94
South Carolina	100	100	100	99	100	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
South Dakota	25	25	29	48	41	46	60	51	45	63	59	63	57	53	51	59	54	64	61	66	66	77	75	73	75	69	77	83	84	82	92	90	88	96	94	98	99	91	NA	92	NA	95	NA	NA	NA	NA	99	NA	NA	NA	97	NA	99	NA	99
Tennessee	97	97	98	98	98	98	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Texas	57	60	66	75	78	81	84	NA	NA	NA	NA	NA	95	96	NA	78	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	99	NA	99	100	98	100	NA	98	NA	94	NA	NA	NA	NA	99	NA	NA	NA	95	NA	87	NA	97
Virginia	100	96	99	100	100	98	100	100	99	100	98	100	100	99	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wisconsin	92	97	98	93	98	99	98	97	98	98	98	98	98	98	99	99	99	99	97	97	100	99	97	99	98	99	100	95	99	97	96	97	94	98	97	98	97	98	98	99	NA	93	NA	NA	NA	NA	93	NA	NA	NA	98	NA	96	NA	97
U.S. average 1/	85	88	91	92	92	93	94	94	96	93	94	94	97	96	95	96	96	97	97	96	97	97	95	96	97	97	97	97	97	97	97	97	98	99	98	98	98	96	96	96	NA	96	NA	NA	NA	NA	97	NA	NA	NA	97	NA	97	NA	98
