"Table 11. Percentage of corn acreage receiving phosphate fertilizer, selected States"																																																							
State	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Alabama	98	98	100	98	99	98	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colorado	NA	NA	NA	NA	NA	NA	NA	86	75	76	63	60	66	66	78	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	65	78	61	NA	59	NA	63	NA	NA	NA	NA	52	NA	NA	NA	NA	NA	66	NA	77
Delaware	NA	NA	NA	NA	NA	NA	NA	99	95	96	92	90	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Florida	NA	100	99	87	92	97	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Georgia	99	100	99	100	100	99	100	98	99	97	97	96	100	100	99	100	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	NA	NA	NA	NA	NA	92	NA	NA	NA	86	NA	NA	NA	NA	74	NA	NA	NA	NA	NA	84	NA	NA
Illinois	82	87	90	90	93	92	94	89	91	89	94	88	96	96	95	94	93	95	94	94	99	90	86	88	89	83	91	87	85	81	86	83	79	87	74	80	83	79	77	83	NA	84	NA	NA	NA	NA	85	NA	NA	NA	85	NA	86	NA	87
Indiana	100	100	99	99	99	97	99	99	100	98	99	98	100	99	97	98	100	99	98	98	98	95	95	91	92	94	96	94	89	90	92	89	97	96	97	92	90	87	92	85	NA	93	NA	NA	NA	NA	90	NA	NA	NA	81	NA	78	NA	91
Iowa	72	78	86	84	84	88	90	89	90	84	81	85	90	90	85	89	87	90	90	84	85	85	83	84	91	85	82	79	77	79	75	77	83	75	81	75	74	62	72	59	NA	70	NA	NA	NA	NA	72	NA	NA	NA	64	NA	67	NA	71
Kansas	61	74	74	74	85	75	78	79	81	65	66	73	72	76	62	68	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	83	NA	83	70	78	73	NA	81	NA	81	NA	NA	NA	NA	81	NA	NA	NA	87	NA	88	NA	75
Kentucky	92	89	95	84	94	91	92	95	93	92	97	98	93	96	93	94	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	86	NA	94	81	81	82	NA	83	NA	78	NA	NA	NA	NA	88	NA	NA	NA	88	NA	82	NA	90
Maryland	NA	98	99	98	98	100	97	99	98	99	100	100	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Michigan	98	96	98	99	98	99	98	97	100	98	97	100	97	96	97	100	99	99	96	100	100	97	97	94	95	94	90	89	89	93	89	85	90	91	91	92	96	74	NA	86	NA	88	NA	NA	NA	NA	93	NA	NA	NA	84	NA	80	NA	79
Minnesota	77	79	86	90	95	87	92	92	88	90	88	92	95	93	89	93	91	95	91	89	91	91	90	87	90	89	90	85	87	89	87	87	94	79	91	90	91	89	86	89	NA	86	NA	NA	NA	NA	72	NA	NA	NA	86	NA	86	NA	79
Mississippi	87	81	93	76	93	93	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Missouri	78	84	82	88	85	83	90	88	84	86	83	84	89	82	88	89	87	85	87	81	78	71	77	81	85	79	80	76	75	76	85	73	88	84	92	84	82	81	NA	91	NA	79	NA	NA	NA	NA	89	NA	NA	NA	81	NA	69	NA	83
Nebraska	44	47	60	70	75	67	71	71	69	74	68	57	65	66	62	72	58	69	61	72	72	70	62	63	72	68	68	64	56	72	72	68	79	80	69	75	82	77	70	76	NA	75	NA	NA	NA	NA	69	NA	NA	NA	77	NA	79	NA	73
New York	NA	100	99	100	98	100	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89	98	NA	81	NA	88	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	70	NA	79
North Carolina	99	99	100	100	99	100	98	100	100	71	97	99	99	99	97	100	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	NA	92	82	88	93	NA	89	NA	74	NA	NA	NA	NA	83	NA	NA	NA	NA	NA	63	NA	74
North Dakota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	72	NA	87	NA	94	NA	NA	NA	NA	94	NA	NA	NA	88	NA	92	NA	88
Ohio	97	100	99	100	99	99	100	99	97	93	97	96	98	98	96	98	98	98	97	97	96	97	93	96	96	97	94	94	92	95	95	90	97	89	96	97	92	92	85	91	NA	87	NA	NA	NA	NA	90	NA	NA	NA	85	NA	87	NA	81
Pennsylvania	NA	94	96	98	99	98	98	98	97	95	96	96	97	98	99	98	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	79	NA	71	NA	87	86	NA	72	NA	64	NA	NA	NA	NA	39	NA	NA	NA	67	NA	41	NA	55
South Carolina	100	99	99	95	100	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
South Dakota	21	19	21	37	30	42	52	39	37	55	51	59	54	46	40	48	44	51	49	52	51	55	60	49	57	58	58	67	72	68	76	72	77	80	78	88	92	69	NA	78	NA	79	NA	NA	NA	NA	85	NA	NA	NA	83	NA	87	NA	88
Tennessee	92	91	94	97	94	97	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Texas	53	58	59	65	49	60	58	NA	NA	NA	NA	NA	54	54	NA	84	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	79	NA	87	80	85	86	NA	85	NA	81	NA	NA	NA	NA	72	NA	NA	NA	77	NA	60	NA	73
Virginia	100	96	98	98	100	98	100	99	97	98	94	98	100	98	93	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wisconsin	92	97	98	92	98	97	97	96	97	96	98	97	97	97	98	98	95	99	96	96	99	98	97	97	95	95	96	93	95	94	91	94	89	97	96	82	89	91	87	90	NA	84	NA	NA	NA	NA	72	NA	NA	NA	85	NA	78	NA	80
U.S. average 1/	78	82	86	87	89	87	90	88	90	86	87	86	90	88	87	89	87	90	88	88	87	86	84	83	87	84	85	82	82	82	83	81	85	84	83	82	84	78	79	79	NA	81	NA	NA	NA	NA	78	NA	NA	NA	80	NA	79	NA	79
